Rank,Company,Ticker Symbol,Industry,Website,City,State,Zip Code,Number of Employees,,Annual Rev (in millions),Rank 2020,Rev % change from 2020,"Profit $USD
(in millions)",Profit % change from 2020,"Assets $USD
(in millions)","Stockholder's Equity $USD
(in millions)",Market Value 3/31/22 $USD (in millions),Profits as % of Sales,Profits as % of Assets,Profits as % of Stockholder Equity,Earnings Per Share 2021,EPS % change from 2020,5-YR EPS % annual rate,10-YR EPS % annual rate,2021 Total Return to Investors,5-YR Total Return to Investors,10-YR Total Return to Investors
1,Walmart,WMT,General Merchandisers,www.walmart.com,Bentonville,AR,72716,"2,300,000",,"$572,754 ",1,2.4,"$13,673 ",1.2,"$244,860 ","$83,253 ","$409,795 ",2.4,5.6,16.4,4.87,2.5,2.1,0.7,1.9,18.3,11.8
2,Amazon.com,AMZN,Internet Services and Retailing,www.amazon.com,Seattle,WA,98109,"1,608,000",,"$469,822 ",2,21.7,"$33,364 ",56.4,"$420,549 ","$138,245 ","$1,658,807 ",7.1,7.9,24.1,64.81,54.9,67.6,47.1,2.4,34.8,34.4
3,Apple,AAPL,"Computers, Office Equipment",www.apple.com,Cupertino,CA,95014,"154,000",,"$365,817 ",3,33.3,"$94,680 ",64.9,"$351,002 ","$63,090 ","$2,849,538 ",25.9,27,150.1,5.61,71,22,19,34.7,45.5,30.5
4,CVS Health,CVS,Health Care: Pharmacy and Other Services,www.cvshealth.com,Woonsocket,RI,2895,"258,000",,"$292,111 ",4,8.7,"$7,910 ",10.2,"$232,999 ","$75,075 ","$132,839 ",2.7,3.4,10.5,5.95,9,4,8.8,54.9,8.6,12.2
5,UnitedHealth Group,UNH,Health Care: Insurance and Managed Care,www.unitedhealthgroup.com,Minnetonka,MN,55343,"350,000",,"$287,597 ",5,11.8,"$17,285 ",12.2,"$212,206 ","$71,760 ","$479,830 ",6,8.1,24.1,18.08,12.8,20.1,14.3,45.1,27.6,27.7
6,Exxon Mobil,XOM,Petroleum Refining,www.exxonmobil.com,Irving,TX,75039,"63,000",,"$285,640 ",10,57.4,"$23,040 ",,"$338,923 ","$168,577 ","$349,652 ",8.1,6.8,13.7,5.39,,23.4,-4.4,57.3,-2.5,0.9
7,Berkshire Hathaway,BRKA,Insurance: Property and Casualty (Stock),www.berkshirehathaway.com,Omaha,NE,68131,"372,000",,"$276,094 ",6,12.5,"$89,795 ",111.2,"$958,784 ","$506,199 ","$779,542 ",32.5,9.4,17.7,59460,123,32.3,25.3,29.6,13,14.7
8,Alphabet,GOOGL,Internet Services and Retailing,www.abc.xyz,Mountain View,CA,94043,"156,500",,"$257,637 ",9,41.2,"$76,033 ",88.8,"$359,268 ","$251,635 ","$1,842,326 ",29.5,21.2,30.2,112.2,91.4,32.1,22.4,65.3,29.6,24.5
9,McKesson,MCK,Wholesalers: Health Care,www.mckesson.com,Irving,TX,75039,"67,500",,"$238,228 ",7,3.1,"($4,539)",-604.3,"$65,015 ",($21),"$45,858 ",-1.9,-7,,-28.26,-670.9,,,44.3,13.3,13.3
10,AmerisourceBergen,ABC,Wholesalers: Health Care,www.amerisourcebergen.com,Conshohocken,PA,19428,"40,000",,"$213,989 ",8,12.7,"$1,540 ",,"$57,338 ",$223 ,"$32,356 ",0.7,2.7,689.5,7.39,,3.2,11.3,38.1,13.1,15.4
11,Costco Wholesale,COST,General Merchandisers,www.costco.com,Issaquah,WA,98027,"288,000",,"$195,929 ",12,17.5,"$5,007 ",25.1,"$59,268 ","$17,564 ","$255,231 ",2.6,8.4,28.5,11.27,24.9,16.2,13.1,51.8,31.7,24.4
12,Cigna,CI,Health Care: Pharmacy and Other Services,www.cigna.com,Bloomfield,CT,6002,"72,963",,"$174,078 ",13,8.5,"$5,365 ",-36.6,"$154,889 ","$47,112 ","$76,286 ",3.1,3.5,11.4,15.73,-31.5,16.9,12.5,12.3,11.9,18.8
13,AT&T,T,Telecommunications,www.att.com,Dallas,TX,75202,"202,600",,"$168,864 ",11,-1.7,"$20,081 ",,"$551,622 ","$166,332 ","$169,262 ",11.9,3.6,12.1,2.76,,5.6,15.4,-8,-4.6,3.7
14,Microsoft,MSFT,Computer Software,www.microsoft.com,Redmond,WA,98052,"181,000",,"$168,088 ",15,17.5,"$61,271 ",38.4,"$333,779 ","$141,988 ","$2,311,359 ",36.5,18.4,43.2,8.05,39.8,30.8,11.6,52.5,42.2,31.9
15,Cardinal Health,CAH,Wholesalers: Health Care,www.cardinalhealth.com,Dublin,OH,43017,"46,827",,"$162,467 ",14,6.2,$611 ,,"$44,453 ","$1,791 ","$15,709 ",0.4,1.4,34.1,2.08,,-13.6,-2.6,-0.4,-3.2,5.2
